Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3
Model 5 sił Portera służy do:,analizy atrakcyjności danej branży i opłacalności działania w niej,oceny strategicznych jednostek biznesowych,oceny słabych i mocnych stron organizacji na tle branży,oceny sprawności operacyjnej organizacji
Model pięciu sił Portera służy do analizy:,oceny atrakcyjności sektora,cyklu życia produktu,środowiska makroekonomicznego,wewnętrznych zasobów przedsiębiorstwa
Siła oddziaływania nabywców nie zależy od:,szybkości zmian technologicznych,łatwości i kosztu zmiany dostawcy,stopnia koncentracji sektora nabywcy,niepowtarzalności produktu
"W analizie konkurencji model pięciu sił Portera zakłada, że presja substytutów rośnie, gdy:",konsumenci łatwo przechodzą na alternatywy,substytuty są droższe niż produkt branży,substytuty mają niską elastyczność cenową,bariery wejścia do branży są wysokie
Mapa grup strategicznych to:,graficzna prezentacja pozycji konkurencyjnej przedsiębiorstw w sektorze w odniesieniu do dwóch wybranych parametrów konkurencji,graficzna prezentacja strategii przedsiębiorstwa w pogrupowaniu na cele etapowe,graficzna prezentacja mocnych i słabych stron przedsiębiorstwa,graficzna prezentacja powiązań między spółkami holdingu strategicznego
"Jakie bariery są najkorzystniejsze dla przedsiębiorstwa o silnej pozycji konkurencyjnej niebędącego w sektorze, ale zainteresowanego wejściem do sektora:",niskie bariery wejścia,wysokie bariery wejścia,niskie bariery wyjścia,wysokie bariery wyjścia
"Rywalizacja wewnątrz sektora wzrasta, gdy tempo wzrostu sektora jest:",niskie,wysokie,stabilne,nieistotne dla poziomu rywalizacji
"Im wyższe bariery wejścia do sektora, tym sektor jest:","bardziej atrakcyjny, ponieważ nowi konkurenci nie pojawią się łatwo","mniej atrakcyjny, ponieważ ogranicza to rozwój istniejących firm","neutralny, bo bariery wejścia nie wpływają na atrakcyjność",mniej stabilny finansowo
W punktowej ocenie atrakcyjności sektora wskaźnik ROI (zwrot z inwestycji) należy do kategorii czynników:,finansowych,sektorowych,techniczno-organizacyjnych,prawnych
"W mikrootoczeniowej analizie interesariuszy grupa o dużym oddziaływaniu, ale małym zaangażowaniu (np. banki, aktywizujące się dopiero gdy ich interesy są zagrożone), to interesariusze:",potencjalnie aktywni,kluczowi,afektywni,marginalni
"Zalecaną strategią wobec interesariuszy afektywnych (małe oddziaływanie, duże zaangażowanie, np. media) jest:",informowanie,ścisłe współdziałanie,podtrzymanie zadowolenia,minimalizacja kontaktu
"Interesariusze powiązani z organizacją poprzez umowy, tacy jak klienci, dostawcy czy instytucje finansowe, to interesariusze:",kontraktowi,substanowiący,kontekstowi,kluczowi
"Pracownicy i właściciele, którzy stanowią o sile organizacji i mają bezpośredni wpływ na jej funkcjonowanie, to interesariusze:",substanowiący,kontraktowi,kontekstowi,marginalni
Kluczowym czynnikiem sukcesu dla sektora producentów odzieży sportowej nie jest:,wzrost dochodów konsumentów,dostęp do kapitału,silna marka,udział w rynku
Do metod badania potencjału strategicznego przedsiębiorstwa nie zalicza się:,metody scenariuszowej,metody kluczowych czynników sukcesu,metody bilansu strategicznego,metody łańcucha wartości przedsiębiorstwa
Kluczowym czynnikiem sukcesu dla sieci lodziarni oferujących naturalne wyroby nie jest:,wzrost dochodów klientów,jakość oferowanego produktu,wizerunek firmy,lokalizacja lodziarni
Do czterech kategorii czynników strategicznych w analizie SWOT zalicza się:,"mocne strony, słabe strony, szanse, zagrożenia","mocne strony, słabe strony, wyzwania, możliwości","siły, słabości, odpowiedzialność, tożsamość","walory, wyzwania, odpowiedzi, trudności"
"Strategia agresywna (MAXI-MAXI) w analizie SWOT jest zalecana, gdy:","wewnątrz organizacji przeważają mocne strony, a w otoczeniu występują liczne szanse",firma ma same słabe strony w groźnym otoczeniu,"otoczenie jest pełne zagrożeń, ale firma jest silna","firma jest słaba, ale rynek dynamicznie rośnie"
W modelowym łańcuchu wartości wg M. E. Portera do funkcji pomocniczych nie zalicza się:,marketingu i sprzedaży,zarządzania zasobami ludzkimi,zaopatrzenia,infrastruktury przedsiębiorstwa
"W klasycznym łańcuchu wartości M. E. Portera, która z poniższych kategorii działań zaliczana jest do działań wspomagających, a nie podstawowych?",infrastruktura przedsiębiorstwa,logistyka w sferze zaopatrzenia,operacje,marketing i sprzedaż
Analiza łańcucha wartości to:,analiza procesów wewnętrznych przedsiębiorstwa i identyfikacja działań tworzących wartość,badanie sekwencji historycznych wydarzeń w przedsiębiorstwie,metoda badania ruchu produktów na rynku,analiza zmian cen surowców na rynku światowym
Kluczowe Czynniki Sukcesu (KCS) muszą być:,"specyficzne dla danej branży, bo nie istnieje jedna uniwersalna lista",identyczne dla wszystkich branż i sektorów gospodarki,ustalane wyłącznie przez rząd i regulatorów rynku,niezależne od specyfiki konkurencji w sektorze
"Szczegółowy audyt wszystkich obszarów przedsiębiorstwa (finansów, marketingu, logistyki, HR, IT), zlecany zazwyczaj zewnętrznej firmie konsultingowej dla zachowania obiektywności, to:",bilans strategiczny,metoda kluczowych czynników sukcesu (KCS),analiza łańcucha wartości,analiza SWOT
"Strategia konkurencyjna (WO, mini-maxi) w analizie SWOT jest zalecana, gdy:","firma ma słabe strony, ale w otoczeniu pojawiają się szanse, które może wykorzystać do ich przezwyciężenia",firma ma mocne strony i działa w otoczeniu pełnym szans,"firma ma mocne strony, ale w otoczeniu dominują zagrożenia",firma ma słabe strony i działa w otoczeniu pełnym zagrożeń
"Strategia konserwatywna (ST, maxi-mini) w analizie SWOT polega na:",wykorzystaniu mocnych stron firmy do minimalizowania wpływu zagrożeń w otoczeniu,wykorzystaniu szans do przezwyciężenia słabych stron firmy,maksymalizacji korzyści z szans przy pomocy mocnych stron,redukcji działalności i wycofaniu się z rynku
"Strategia defensywna (WT, mini-mini) w analizie SWOT, stosowana w najgorszej sytuacji firmy, obejmuje działania takie jak:","redukcja działalności, cięcie kosztów, a nawet wycofanie się z rynku","ekspansja, rozwój i intensywne inwestycje",restrukturyzacja wewnętrzna połączona z selektywnym wykorzystaniem szans,utrzymanie pozycji i poszukiwanie bezpieczniejszych rynków
"W odróżnieniu od klasycznej analizy SWOT, analiza TOWS:","zaczyna się od czynników zewnętrznych (zagrożeń i szans), a dopiero potem przechodzi do czynników wewnętrznych",analizuje wyłącznie czynniki wewnętrzne firmy,pomija całkowicie szanse i zagrożenia płynące z otoczenia,jest tożsama ze SWOT i różni się jedynie nazwą
Elementem Lean Canvas nie jest:,harmonogram realizacji projektu,problem,kanały dostępu,struktura przychodów
Który element jest propozycją wartości w modelu Business Model Canvas:,dostosowanie do indywidualnych potrzeb,wielostronna platforma,prowizje z tytułu pośrednictwa,sklepy partnerskie
Biznesplan jest narzędziem służącym:,skonkretyzowaniu planów strategicznych firmy,promocji firmy,budowaniu wizerunku firmy,uwiarygodnieniu przyjętych założeń
Które stwierdzenie dotyczące biznesplanu jest prawdziwe?,Biznesplan może uwzględniać wiele wariantów realizacji pomysłu biznesowego,"Biznesplan jest dokumentem, który zawiera opis realizacji pomysłu biznesowego, ocenę zagrożeń oraz ocenę finansową",Każdy biznesplan jest przedstawiany do oceny bankom lub innym instytucjom finansującym,"Struktura biznesplanu powinna być dostosowana do specyfiki pomysłu, ale zawsze musi mieć taki sam układ"
"Element biznesplanu umieszczany na samym początku dokumentu, mimo że pisze się go zawsze jako ostatni, to:",streszczenie menadżerskie,charakterystyka przedsiębiorstwa,analiza rynku i otoczenia,analiza i plan finansowy
Autorami koncepcji Business Model Canvas (BMC) są:,Alexander Osterwalder i Yves Pigneur,Ash Maurya i Steve Blank,Michael Porter i Philip Kotler,Eric Ries i Peter Thiel
"Business Model Canvas opisuje model biznesowy firmy za pomocą dziewięciu elementów, obejmujących cztery główne sfery działalności:","ofertę, klienta, infrastrukturę oraz finanse","produkcję, sprzedaż, marketing oraz logistykę","kapitał, pracę, ziemię oraz przedsiębiorczość","przychody, koszty, aktywa oraz pasywa"
Propozycję wartości typu jakościowego stanowi m.in.:,kompleksowa obsługa i pozytywne doświadczenia klienta,niższa cena produktu,krótszy czas realizacji usługi,redukcja kosztów dla klienta
"Lean Canvas, stworzony przez Asha Mauryę jako uproszczona wersja BMC z myślą o startupach, kładzie większy nacisk na:",sam problem klienta i sposób jego rozwiązania,rozbudowaną strukturę partnerstw i kluczowych zasobów,relacje z klientami i kanały dystrybucji,strukturę kosztów i strumienie przychodów
"Pierwsza, uproszczona wersja produktu, posiadająca jedynie najważniejsze funkcjonalności, tworzona w celu weryfikacji założeń modelu biznesowego przy minimalnym nakładzie pracy, to:",MVP (Minimum Viable Product),BMC (Business Model Canvas),Lean Canvas,prototyp finalny
Wykres Ishikawy służy do:,ustalania przyczyn niepożądanego zjawiska,ustalania celu przedsiębiorstwa,wygenerowania pomysłów rozwiązań problemu decyzyjnego,skrócenia czasu realizacji przedsięwzięcia
Zgodnie z zasadą Pareto:,20% poświęcanego czasu przekłada się na 80% efektów,30% poświęcanego czasu przekłada się na 70% efektów,40% poświęcanego czasu przekłada się na 60% efektów,50% poświęcanego czasu przekłada się na 50% efektów
Zgodnie z zasadą Pareto około 20% najlepszych klientów będzie generowało:,około 80% przychodów ze sprzedaży,około 20% marży netto,około 50% kosztów obsługi wszystkich klientów,"tyle samo zysku netto, co 80% pozostałych klientów"
Technika służąca do analizy stosunków międzyludzkich zachodzących w zespołach pracowniczych to:,socjogram,analiza morfologiczna,burza mózgów,dyskusja 66
Która nazwa nie jest zamiennie stosowana z terminem diagram Ishikawy?,schemat szyszkowy,diagram rybiej ości,diagram przyczynowo-skutkowy,schemat jodełkowy
W diagramie Ishikawy zdefiniowany problem jest zapisywany na:,poziomym wektorze,osi Y,pierwszym rozgałęzieniu diagramu,centralnym kole diagramu
Założeniem metody 635 (brainwritingu) jest udział … uczestników.,6,3,5,635
Który parametr opisuje decyzje strategiczne:,szeroki zakres tematyczny informacji,wąski zakres tematyczny informacji,duża szczegółowość,mała szczegółowość
Do technik podejmowania decyzji przydatnych na etapie projektowania rozwiązań zalicza się m.in.:,analogie Gordona,arkusze identyfikacji problemu,arkusze danych,diagram Pareta
Trzy etapy procesu decyzyjnego w przedsiębiorstwie to:,"rozpoznanie problemu, projektowanie rozwiązań, wybór wariantu","planowanie, organizowanie, kontrolowanie","analiza SWOT, analiza PEST, wybór strategii","burza mózgów, głosowanie, wdrożenie"
"Decyzje dotyczące spraw podobnych, powtarzających się z pewną regularnością, podejmowane szybko w oparciu o istniejące procedury, to decyzje:",programowalne (rutynowe),nieprogramowalne (twórcze),strategiczne,taktyczne
"Decyzje długoterminowe, rzutujące na perspektywy rozwoju całej firmy, wymagające szerokiego zakresu informacji przy małej szczegółowości, to decyzje:",strategiczne,taktyczne,operacyjne,programowalne
"Decyzja kierownika magazynu o kolejności pakowania dzisiejszych zamówień, tak aby kurier zdążył je odebrać przed 16:00, jest przykładem decyzji:",operacyjnej,taktycznej,strategicznej,nieprogramowalnej
"W teorii gier decyzje, w których jedna strona zyskuje dokładnie tyle, ile traci druga, nazywamy decyzjami o sumie:",zerowej,dodatniej,ujemnej,nieskończonej
"Syndrom grupowego myślenia (groupthink) polega na tym, że:","członkowie zespołu dążą za wszelką cenę do zgody kosztem racjonalnej oceny sytuacji, ignorując sprzeczne fakty",każdy członek zespołu podejmuje decyzję niezależnie od innych,zespół zawsze konsultuje decyzje z zewnętrznymi ekspertami,grupa systematycznie poszukuje opinii sprzecznych z własnymi
"Zgodnie z zasadą 4F efektywnego procesu decyzyjnego, litera „F” oznaczająca gotowość na innowacje i wprowadzanie natychmiastowych zmian to:",Flexibility (elastyczność),Focus (skupienie),Fast (szybkość),First (pierwszeństwo)
W burzy mózgów (technice Osborna) obowiązuje żelazna zasada:,bezwzględnego zakazu krytykowania zgłaszanych pomysłów,obowiązku natychmiastowej oceny każdego pomysłu,ograniczenia liczby zgłaszanych pomysłów do trzech na osobę,konieczności uzasadnienia każdego pomysłu danymi liczbowymi
Metoda Phillips 66 (Buzz session) polega na podziale większego zespołu na grupy liczące:,"6 osób, z których każda ma dokładnie 6 minut na dyskusję","3 osoby, z których każda ma 5 minut na dyskusję","10 osób, z których każda ma 10 minut na dyskusję","6 osób, z których każda ma 35 minut na dyskusję"
Technika znajdowania pomysłów poprzez szukanie analogii i skojarzeń (np. inspirowanie kształtu pociągu dziobem zimorodka) nazywa się:,analogią Gordona (synektyką),burzą mózgów Osborna,techniką brainwriting 635,metodą Phillips 66
"Odmiana analogii Gordona, w której decydent osobiście utożsamia się z analizowanym obiektem lub procesem (np. inżynier wyobrażający sobie, że jest zużytą częścią silnika), to analogia:",antropomorficzna (osobista),bezpośrednia,symboliczna,fantastyczna
"Zogniskowany wywiad grupowy (FGI) to spotkanie prowadzone przez moderatora, w którym uczestniczy zazwyczaj:","6–10 osób swobodnie dyskutujących o produkcie, marce czy pomyśle",dokładnie 2 osoby prowadzące bezpośrednią debatę,ponad 100 osób wypełniających ankietę indywidualnie,wyłącznie eksperci komunikujący się anonimowo poprzez kwestionariusze
"Technika twórczego myślenia polegająca na rozłożeniu problemu na czynniki i wypisaniu wszystkich możliwych opcji dla każdego z nich, a następnie łączeniu ich w nowe warianty, to:",analiza morfologiczna,ekstrapolacja trendów,analogia Gordona,technika delficka
"Metoda wspomagająca podejmowanie decyzji, przedstawiająca możliwe warianty decyzji i ich konsekwencje w formie rozgałęziającego się diagramu, to:",drzewo decyzyjne,diagram Ishikawy,diagram Pareto,macierz Eisenhowera
"Metoda ekonometryczna polegająca na symulowaniu ekstremalnych warunków kryzysowych, aby sprawdzić, jak zachowa się organizacja, to:",stress-testy,analiza ABC,drzewo decyzyjne,arkusz identyfikacji problemu
"Pierwszym etapem metody design thinking, polegającym na głębokim zrozumieniu potrzeb i problemów użytkowników, jest:",empatyzacja (Empathize),definiowanie problemu (Define),generowanie pomysłów (Ideate),testowanie (Test)
"W analizie ABC grupa A (kluczowa) stanowi zazwyczaj ok. 10–20% liczby pozycji, ale odpowiada za:",ok. 70–80% wartości (np. przychodów),ok. 5–10% wartości,ok. 30–40% wartości,dokładnie 50% wartości
"Zjawisko, w którym sprzedawca samochodu używanego zna ukryte usterki pojazdu, a kupujący nie, jest przykładem:",asymetrii informacji,luki informacyjnej,negatywnej selekcji,pokusy nadużycia
"Zjawisko, w którym po wykupieniu ubezpieczenia klient zaczyna zachowywać się bardziej ryzykownie, ponieważ wie, że ewentualne koszty poniesie ubezpieczyciel, to:",pokusa nadużycia (moral hazard),negatywna selekcja (adverse selection),asymetria informacji,luka informacyjna
Zjawisko negatywnej selekcji (adverse selection) na rynku ubezpieczeń występuje:,"przed zawarciem umowy (na etapie ex-ante), gdy osoby o wysokim ryzyku chętniej zgłaszają się po ubezpieczenie",po zawarciu umowy (na etapie ex-post),wyłącznie na rynku kredytowym,nigdy na rynku ubezpieczeniowym
"Proces angażowania pracowników w podejmowanie decyzji dotyczących organizacji i umożliwienie im brania odpowiedzialności za swoje działania, co przekłada się na świadomość kosztów, poczucie przynależności, wzrost wydajności oraz poprawę relacji w zespole, to:",empowerment,coaching,proces selekcji,proces adaptacji pracownika
Formą mobbingu w miejscu pracy nie jest:,upomnienie pracownika za złą pracę,utrudnianie pracownikowi komunikowania z otoczeniem,powierzanie pracownikowi zadań niewspółmiernych do jego kompetencji,wydawanie sprzecznych poleceń
Formą mobbingu w miejscu pracy jest:,szkalowanie pracownika,upomnienie pracownika za złą pracę,"nagradzanie pracownika za rzeczy, które zrobił źle",zachęcanie pracownika do pracy
Metoda MBO dotyczy:,zarządzania przez cele,zarządzania przez wyniki,zarządzania przez innowacje,zarządzania przez komunikację
"Funkcja kierownicza polegająca na świadomym wyborze kierunku działania oraz celów, a także sposobów ich osiągania, to:",planowanie,organizowanie,motywowanie,kontrolowanie
"Funkcja kierownicza polegająca na ustaleniu, co, w jaki sposób, kiedy i przez kogo ma zostać wykonane, to:",organizowanie,planowanie,motywowanie,kontrolowanie
"Typ kierownika opisywany jako pragmatyk nastawiony na natychmiastowe działanie, wdrożenie i realne rezultaty, to typ:",praktyczny,fantasta,logiczny,entuzjasta
Rola kierownicza polegająca na reprezentowaniu organizacji na zewnątrz (np. udziale w uroczystym otwarciu nowego zakładu) należy do kategorii ról:,interpersonalnych,informacyjnych,decyzyjnych,technicznych
"Rola kierownicza polegająca na rozwiązywaniu konfliktów między podwładnymi to rola osoby przeciwdziałającej zakłóceniom, należąca do kategorii:",decyzyjnej,interpersonalnej,informacyjnej,technicznej
"Władza wynikająca z pozycji zajmowanej w strukturze organizacyjnej, a nie z cech osobistych, to władza:",prawomocna (formalna),nagradzania,przypisywana,ekspercka
Władza przysługująca komuś z racji posiadanych informacji lub kompetencji to władza:,ekspercka,prawomocna (formalna),nagradzania,przypisywana
Błędy kierownika związane z podejmowaniem decyzji i strategią działania firmy (np. brak planowania płynności finansowej) nazywamy błędami:,twardymi,miękkimi,systemowymi,proceduralnymi
Delegowanie uprawnień na niższe szczeble struktury organizacyjnej nazywamy:,decentralizacją,centralizacją,empowermentem,kładką Fayola
"Styl kierowania w siatce Blake'a i Moutona (1,1), nazywany biernym lub zubożonym, charakteryzuje się:","brakiem nastawienia zarówno na zadania, jak i na ludzi",pełnym skupieniem na realizacji celów kosztem pracowników,pełnym skupieniem na relacjach kosztem efektywności,równoważeniem nastawienia na zadania i ludzi
"Styl kierowania (9,9) w siatce Blake'a i Moutona, uznany przez autorów za najbardziej efektywny, nazywany jest stylem:",przywódczym,autokratycznym,liberalnym,kompromisowym
"W teorii Najmniej Preferowanego Współpracownika (NPW) Fiedlera, liderzy o niskim wyniku NPW (zorientowani na zadania) są najbardziej efektywni:",w sytuacjach skrajnych – bardzo korzystnych lub bardzo niekorzystnych,wyłącznie w sytuacjach umiarkowanie korzystnych,"niezależnie od sytuacji, zawsze osiągają taką samą efektywność","wyłącznie w dużych, sformalizowanych organizacjach"
W modelu MBO cele pracownika muszą zostać zatwierdzone przez:,przełożonego znajdującego się szczebel wyżej niż jego bezpośredni przełożony,"wyłącznie samego pracownika, samodzielnie ustalającego swoje cele","bezpośredniego przełożonego pracownika, bez dalszej akceptacji","zarząd całej spółki, niezależnie od szczebla stanowiska"
"Reakcja organizmu na chroniczny stres emocjonalny, objawiająca się wyczerpaniem emocjonalnym, brakiem motywacji i brakiem satysfakcji z pracy, to:",wypalenie zawodowe,mobbing,dyskryminacja pośrednia,tokenizm
"Sytuacja, w której formalnie neutralny przepis lub kryterium (np. wymóg minimalnego wzrostu 180 cm na stanowisko biurowe) w praktyce stawia określoną grupę w gorszej pozycji, to dyskryminacja:",pośrednia,bezpośrednia,wtórna,tokenizm
"Włączanie przedstawicieli grup mniejszościowych do organów decyzyjnych bez dawania im realnego wpływu na decyzje, wyłącznie po to, by sprawiać złudne wrażenie tolerancji, nazywa się:",tokenizmem,dyskryminacją bezpośrednią,dyskryminacją pośrednią,dyskryminacją wtórną
"Niesformalizowana bariera utrudniająca kobietom awans na najwyższe stanowiska mimo posiadanych kwalifikacji, nazywana jest:",szklanym sufitem,lepką podłogą,ruchomymi schodami,tokenizmem
"Zjawisko opisujące zawody o niższym statusie, zdominowane przez kobiety (np. sprzątaczka, niania), w których brak jest możliwości awansu, nazywa się:",lepką podłogą,szklanym sufitem,ruchomymi schodami,dyskryminacją wtórną
"Technika oceny pracownika, w której jest on oceniany jednocześnie przez przełożonego, współpracowników, podwładnych, klientów oraz dokonuje samooceny, to technika:",360 stopni (ocena wieloźródłowa),wydarzeń krytycznych,wymuszonego rozkładu,rankingu
"W odróżnieniu od coachingu, mentoring:","opiera się na relacji mistrz-uczeń z doświadczonym ekspertem, skupionej na długoterminowym rozwoju kariery",koncentruje się wyłącznie na szybkim rozwoju konkretnych umiejętności technicznych,jest prowadzony zawsze przez profesjonalnego trenera (coacha),trwa zazwyczaj krócej niż coaching
Pięcioetapowy cykl działania zorganizowanego został opracowany przez:,H. L. Le Chateliera,K. Adamieckiego,H. Fayola,F. W. Taylora
Dwanaście zasad wydajności sformułował:,H. Emerson,K. Adamiecki,H. Fayol,F. W. Taylor
"Do głównych praw determinujących sprawność organizacyjną, sformułowanych przez Karola Adamieckiego, należą m.in.:",prawo harmonii,prawo inwestycji,prawo strategii firmy,prawo międzynarodowe
"W teorii X i Y McGregora podejście X oznacza, że pracownicy:",nie lubią pracy i starają się jej w miarę możliwości unikać,w odpowiednich warunkach sami dążą do wzięcia odpowiedzialności,mają wewnętrzną motywację do osiągania celów,wykorzystują w firmie tylko część swoich talentów
"Która z koncepcji zachowania człowieka w organizacji zakłada, że pracownik jest samodzielny, pracuje nie tylko dla pieniędzy, ale również dla satysfakcji zawodowej, poczucia sukcesu:",koncepcja Y,koncepcja X,koncepcja Z,koncepcja psychodynamiczna
"Szkoła zarządzania zakładająca, że pracę można rozłożyć na proste, powtarzalne elementy, zmierzyć stoperem i zoptymalizować niemal jak działanie maszyny, to szkoła:",naukowej organizacji pracy,administracyjna,behawioralna,ilościowa
"Twórcą tayloryzmu, znanym z eksperymentu z łopatami w fabryce Bethlehem Steel, który zwiększył wydajność pracy o ponad 300%, jest:",Frederick Winslow Taylor,Karol Adamiecki,Henry Ford,Henry Fayol
"Prawo Adamieckiego mówiące, że dla każdego procesu istnieje optymalny poziom produkcji, przy którym koszt jednostkowy jest najniższy, to prawo:",optymalnej produkcji,harmonii,koncentracji,przekory
"Prawo Adamieckiego mówiące, że nadmierne zwiększanie produkcji ponad rozsądny próg w pewnym momencie przynosi spadek wydajności zamiast jej wzrostu, to prawo:",przekory,harmonii,koncentracji,inercji przyzwyczajeń
"Kierunek organizacji pracy stworzony przez Henry'ego Forda, zakładający daleko posunięty podział pracy, taśmę produkcyjną oraz autokratyczny styl kierowania, nazywany jest:",fordyzmem,tayloryzmem,weberyzmem,fajolizmem
"Autorem modelu idealnej biurokracji, opartego na ścisłej hierarchii i jasnym podziale zadań, jest:",Max Weber,Henry Fayol,Frederick Taylor,Elton Mayo
"Zasada umożliwiająca bezpośredni kontakt pracowników z różnych działów w sprawach mniejszej wagi, bez zgody przełożonych, wprowadzona przez Fayola, nazywana jest:",kładką Fayola,prawem harmonii,efektem Hawthorne,empowermentem
"Szkoła zarządzania podkreślająca znaczenie atmosfery, relacji międzyludzkich i poczucia przynależności w zespole jako czynników zwiększających efektywność pracy, to szkoła:",behawioralna,naukowej organizacji pracy,administracyjna,ilościowa
"Odkrywcą tzw. efektu Hawthorne, pokazującego, że wydajność pracy rośnie, gdy pracownicy czują się obserwowani i doceniani, był:",Elton Mayo,Douglas McGregor,Frederick Taylor,Max Weber
"Kierunek zarządzania zakładający, że nie istnieje jeden najlepszy sposób zarządzania, a działania należy dostosować do konkretnych warunków, to kierunek:",sytuacyjny,systemowy,ilościowy,administracyjny
"Zjawisko, w którym współpraca poszczególnych systemów organizacji prowadzi do lepszych efektów niż suma działań każdego elementu z osobna (tzw. 2+2=5), nazywane jest w kierunku systemowym:",synergią,ekwifinalnością,empowermentem,efektem Hawthorne
Określony sposób ubierania się w organizacji (dress code) to w kulturze organizacyjnej przykład:,artefaktów fizycznych,artefaktów behawioralnych,norm i wartości,tabu organizacyjnego
Logo przedsiębiorstwa to w kulturze organizacyjnej przykład:,artefaktów fizycznych,artefaktów językowych,norm i wartości,tabu organizacyjnego
Najtrudniejszymi do zaobserwowania elementami kultury organizacyjnej są:,założenia podstawowe,artefakty,normy,wartości
Jakie funkcje pełni kultura organizacyjna?,"integracyjną, percepcyjną, adaptacyjną","integracyjną, percepcyjną, analityczną","integracyjną, prospołeczną, analityczną","integracyjną, komunikacyjną, elastyczną"
"Kurt Lewin opracował teorię zmian społecznych, w której organizacje i instytucje społeczne cechują się równowagą sił wspierających i hamujących zmianę. Na czym polega zaproponowany przez niego model zmiany organizacyjnej?","na sekwencji trzech etapów: rozmrożenia dotychczasowego stanu, wprowadzenia zmiany, zamrożenia nowego układu","na założeniu, że organizacja sama naturalnie przystosuje się do nowych warunków, więc nie ma potrzeby podejmowania żadnych zaplanowanych działań",na przerzuceniu odpowiedzialności za zmianę wyłącznie na pracowników liniowych,"na jednorazowym, radykalnym wstrząsie organizacji, po którym zakłada się samoczynną adaptację do nowej równowagi"
"Najgłębszy, niewidoczny i najtrudniejszy do zmiany poziom kultury organizacyjnej według Edgara Scheina to:",założenia kulturowe,artefakty,normy,wartości
Proces komunikacji w organizacji jest przykładem artefaktów:,behawioralnych,fizycznych,językowych,ukrytych
Średni poziom kultury organizacyjnej wg Scheina — normy i wartości — obejmuje m.in.:,"cele, strategię i misję organizacji",wygląd siedziby i architekturę wnętrz,głęboko podświadomy stosunek do życia i świata,proces komunikacji między pracownikami
"Funkcja kultury organizacyjnej, dzięki której pracownicy czują się częścią jednej grupy, a nie zbiorem obcych sobie osób (np. wspólne świętowanie sukcesów), to funkcja:",integracyjna,percepcyjna,adaptacyjna,normatywna
"Funkcja kultury organizacyjnej, która uczy pracowników, jak interpretować to, co dzieje się wokół nich (np. traktowanie błędów jako okazji do nauki), to funkcja:",percepcyjna,integracyjna,adaptacyjna,informacyjna
"Funkcja kultury organizacyjnej dostarczająca pracownikom gotowych schematów zachowania w nowych, nieprzewidzianych sytuacjach (np. wiedza, kogo powiadomić w razie awarii systemu), to funkcja:",adaptacyjna,integracyjna,percepcyjna,kontrolna
"Typ kultury organizacyjnej całkowicie zamknięty na nowe idee i różnorodność, oparty na silnej tradycji (typowy np. dla japońskich korporacji), to kultura:",dominacji,rywalizacji,adaptacji (współpracy),proefektywnościowa
"Typ kultury organizacyjnej, w którym konflikt między działami traktowany jest jako celowe źródło mobilizacji, typowy dla działów sprzedaży (np. cotygodniowy ranking wyników zespołów), to kultura:",rywalizacji,dominacji,adaptacji (współpracy),proefektywnościowa
"Elastyczny i innowacyjny typ kultury organizacyjnej, łączący pomysły z różnych dziedzin zamiast trzymania się jednego schematu, to kultura:",adaptacji (współpracy),dominacji,rywalizacji,proefektywnościowa
"Typ kultury organizacyjnej charakteryzujący się otwartością na eksperymenty oraz autorytetem wiedzy, to kultura:",proefektywnościowa,dominacji,rywalizacji,adaptacji (współpracy)
"Kryterium oceny siły kultury organizacyjnej dotyczące czytelności i jednoznaczności jej wzorców (np. jednoznacznej wiedzy, że „nigdy nie spóźniamy się na spotkania z klientem”), to:",wyrazistość,stopień upowszechnienia,głębokość zakorzenienia,spójność
"Kryterium oceny siły kultury organizacyjnej dotyczące zakresu akceptacji i stosowania jej wzorców przez wszystkich członków organizacji, niezależnie od stanowiska, to:",stopień upowszechnienia,wyrazistość,głębokość zakorzenienia,spójność
"Kryterium oceny siły kultury organizacyjnej dotyczące trwałości postaw zgodnych z jej wzorcami (np. zasady obowiązującej od 20 lat, którą nowi pracownicy przejmują niemal automatycznie), to:",głębokość zakorzenienia,wyrazistość,stopień upowszechnienia,spójność
W modelu zmiany Kurta Lewina etap „zamrożenia” polega na:,"utrwaleniu nowości, tak aby zmieniony sposób pracy stał się nowym, codziennym standardem","uświadomieniu zespołowi, że stare metody przestały działać",wdrażaniu nowości i testowaniu jej wraz ze szkoleniami,całkowitym odrzuceniu jakichkolwiek zmian w przyszłości
"Wg modelu Kurta Lewina, etap polegający na uświadomieniu zespołowi, że dotychczasowe metody pracy przestały działać i trzeba je porzucić, to etap:",rozmrożenia,zmiany,zamrożenia,stabilizacji
Marketing mix dla usług nie obejmuje:,nabywcy usługi,realizatorów usługi,procesu świadczenia usługi,materialnego dowodu jakości usługi
Do klasycznego marketingu mix (4P) nie zalicza się:,procesu świadczenia usługi,ceny,produktu,dystrybucji
Elementami marketingu mix dla usług (7P) nie są:,potrzeby,ludzie,procesy,świadectwa materialne
Koncepcja marketing miksu w poszerzonej formie (7P) nie zawiera instrumentu o nazwie:,rodzaj płatności (payment),ludzie (people),materialne świadectwo (physical evidence),procesy (processes)
